Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
Communications,Written,2769,41565,41568,on time
Communications,Written,2770,41565,41582,late
President ,Written,2791,41565,41582,late
Communications,Written,2793,41565,41962,late
Communications,Written,2795,41565,41962,late
Agriculture,Written,2820,41565,41582,late
Arts,Written,2821,41565,41963,late
Communications,Written,2823,41565,41582,late
COGTA,Written,2824,41565,41947,Late
President ,Written,2829,41565,41965,late
Correctional Services,Written,2833,41572,41977,very late
Communications,Written,2834,41572,41962,late
COGTA,Written,2835,41572,41961,Late
COGTA,Written,2840,41572,41961,Late
COGTA,Written,2844,41572,41950,on time 
COGTA,Written,2862,41572,41962,Late
President ,Written,2880,41572,41579,on time
Arts,Written,2909,41572,41983,very late
Agriculture,Written,2910,41572,41962,late
Communications,Written,2912,41572,41582,on time
COGTA,Written,2913,41572,41962,Late
Correctional Services,Written,2914,41572,41950,on time
Agriculture,Written,2942,41572,41962,late
Arts,Written,2943,41572,41963,late
Communications,Written,2945,41572,41582,on time
COGTA,Written,2946,41572,41962,Late
Correctional Services,Written,2947,41572,41950,on time
Communications,Written,2976,41579,41976,late
President ,Written,2980,41579,41965,late
COGTA,Written,2981,41579,41961,Late
COGTA,Written,2982,41579,41961,Late
COGTA,Written,2983,41579,41961,Late
COGTA,Written,2984,41579,41961,Late
Correctional Services,Written,2995,41579,41965,late
President ,Written,2996,41579,41992,very late
President ,Written,2997,41579,41965,late
President ,Written,3006,41579,41956,on time
COGTA,Written,3018,41579,41962,Late
Arts,Written,3019,41579,41963,late
Arts,Written,3020,41579,41963,late
Communications,Written,3032,41579,41976,late
Deputy President,Written,3033,41586,41975,late
Deputy President,Written,3037,41586,41975,late
President ,Written,3040,41586,41990,late
COGTA,Written,3047,41586,41976,Late
Correctional Services,Written,3049,41586,41977,late
Correctional Services,Written,3055,41586,41968,late
Agriculture,Written,3058,41586,41961,on time
Agriculture,Written,3059,41586,41961,on time
Agriculture,Written,3070,41586,41961,on time
COGTA,Written,3093,41593,41976,Late
COGTA,Written,3094,41593,41982,Late
COGTA,Written,3117,41593,41985,Late
COGTA,Written,3161,41593,41985,Late
COGTA,Written,3166,41593,41976,Late
Agriculture,Written,56,41683,41697,On Time
Arts,Written,57,41683,41722,Very Late
Agriculture,Written,91,41683,41697,On Time
President ,Written,112,41683,41736,Very Late
Performance Monitoring,Written,61,41684,41744,very late
Performance Monitoring,Written,62,41684,41723,very late
Defence & MVs,Written,63,41684,41745,very late
Performance Monitoring,Written,64,41684,41723,very late
Defence & MVs,Written,74,41684,41745,very late
Energy ,Written,76,41684,41703,late
Human settlements ,Written,79,41684,41703,late
Intl Relations and Cooperation,Written,80,41684,41695,on time
Justice and CD,Written,81,41684,41710,late
Mineral resources,Written,83,41684,41712,Late
Public Enterprises,Written,85,41684,41702,late
Public S and Administration,Written,86,41684,41703,late
Rural Dev & Land Reforms,Written,88,41684,41697,on time
Science & Technology,Written ,89,41684,41698,on time
Sport & Recreation ,Written,91,41684,41703,late
State Security,Written,92,41684,41691,On time
Tourism,Written,93,41684,41697,on time
Transport,Written,94,41684,41717,late
Trade and Industry,Written,95,41684,41698,On time
"Women, C&PwD",Written,96,41684,41773,very late
Performance Monitoring,Written,97,41684,41744,very late
Defence & MVs,Written,107,41684,41745,very late
Energy ,Written,109,41684,41703,late
Human settlements ,Written,112,41684,41726,late
Intl Relations and Cooperation,Written,113,41684,41696,on time
Justice and CD,Written,114,41684,41710,late
Mineral resources,Written,116,41684,41706,Late
Public Enterprises,Written,118,41684,41702,late
Public S and Administration,Written,119,41684,41699,on time
Rural Dev & Land Reforms,Written,121,41684,41710,late
Science & Technology,Written ,122,41684,41698,on time
Sport & Recreation ,Written,124,41684,41703,late
State Security,Written,125,41684,41691,On time
Tourism,Written,126,41684,41697,on time
Transport,Written,127,41684,41752,very late
Trade and Industry,Written,128,41684,41691,On time
"Women, C&PwD",Written,129,41684,41786,very late
Performance Monitoring,Written,130,41684,41705,late
Defence & MVs,Written,140,41684,41745,very late
Energy ,Written,142,41684,41703,late
Human settlements ,Written,145,41684,41696,on time
Intl Relations and Cooperation,Written,146,41684,41695,on time
Justice and CD,Written,147,41684,41710,late
Mineral resources,Written,149,41684,41712,Late
Public Enterprises,Written,151,41684,41702,late
Public S and Administration,Written,152,41684,41703,late
Rural Dev & Land Reforms,Written,154,41684,41711,late
Science & Technology,Written ,155,41684,41698,on time
Sport & Recreation ,Written,157,41684,41703,late
State Security,Written,158,41684,41691,On time
Tourism,Written,159,41684,41697,on time
Transport,Written,160,41684,41755,very late
Trade and Industry,Written,161,41684,41691,On time
"Women, C&PwD",Written,162,41684,41856,very late
Performance Monitoring,Written,163,41684,41759,very late
Justice and CD,Written,168,41684,41710,late
President ,Written,190,41691,41736,Very Late
Deputy President,Written,196,41691,41704,On Time
Performance Monitoring,Written,174,41692,41723,late
Performance Monitoring,Written,175,41692,41745,very late
Public Enterprises,Written,176,41692,41710,late
Public Enterprises,Written,177,41692,41705,on time
Public Enterprises,Written,178,41692,41710,late
Public Enterprises,Written,179,41692,41710,late
Trade and Industry,Written,180,41692,41698,On time
Energy ,Written,182,41692,41705,on time
Finance,Written,184,41692,41712,Late
Police,Written,187,41692,41746,very late
Police,Written,188,41692,41345,late
Police,Written,189,41692,41345,late
Social Development,Written,190,41692,41745,Very late
Social Development,Written,191,41692,41712,Late
Social Development,Written,192,41692,41712,Late
Social Development,Written,193,41692,41713,Late
Social Development,Written,194,41692,41713,Late
Social Development,Written,196,41692,41713,Late
Social Development,Written,197,41692,41345,Late
Police,Written,198,41692,41345,late
Social Development,Written,199,41692,41739,Very late
Health ,Written,200,41692,41743,very late
Police,Written,201,41692,41345,late
Police,Written,202,41692,41345,late
Police,Written,203,41692,41745,very late
Police,Written,204,41692,41345,late
Economic Development,Written,205,41692,41710,late
Performance Monitoring,Written,206,41692,41744,very late
Defence & MVs,Written,207,41692,41745,very late
Defence & MVs,Written,208,41692,41745,very late
Defence & MVs,Written,209,41692,41745,very late
Water & Environmental affairs,Written,212,41692,41710,late
Water & Environmental affairs,Written,213,41692,41710,late
Home affairs,Written,215,41692,41699,On time
Home affairs,Written,216,41692,41711,Late
Home affairs,Written,217,41692,41699,On time
"Women, C&PwD",Written,219,41692,41772,very late
Public Works,Written,221,41692,41725,Late
Public Works,Written,222,41692,41733,Late
Energy ,Written,223,41692,41703,on time
Public Enterprises,Written,224,41692,41711,late
Transport,Written,225,41692,41747,very late
Water & Environmental affairs,Written,226,41692,41710,late
Water & Environmental affairs,Written,227,41692,41710,late
Water & Environmental affairs,Written,228,41692,41710,late
Economic Development,Written,229,41692,41702,on time
Economic Development,Written,230,41692,41709,late
Public S and Administration,Written,233,41692,41703,on time
Defence & MVs,Written,234,41692,41745,very late
Defence & MVs,Written,235,41692,41745,very late
Home affairs,Written,236,41692,41744,very late
Human settlements ,Written,237,41692,41711,late
Health ,Written,238,41692,41743,very late
Home affairs,Written,239,41692,41716,Late
Rural Dev & Land Reforms,Written,240,41692,41710,late
Rural Dev & Land Reforms,Written,241,41692,41710,late
Public Works,Written,242,41692,41355,Late
Finance,Written,243,41692,41706,on time
Police,Written,244,41692,41345,late
Intl Relations and Cooperation,Written,245,41692,41709,late
Tourism,Written,247,41692,41705,on time
Arts,Written,248,41692,41379,very late
Labour,Written,249,41692,41345,late
Finance,Written,250,41692,41716,Late
Arts,Written,211,41698,41738,Very Late
Arts,Written,212,41698,41732,Late
President ,Written,242,41698,41736,Very Late
Agriculture,Written,243,41698,41710,On Time
President ,Written,244,41698,41736,Very Late
Finance,Written,254,41699,41720,Late
Police,Written,255,41699,41744,very late
Justice and CD,Written,258,41699,41737,late
Justice and CD,Written,259,41699,41737,late
Justice and CD,Written,261,41699,41737,late
Police,Written,262,41699,41801,very late
Transport,Written,263,41699,41752,very late
Social Development,Written,264,41699,41712,on time
Police,Written,265,41699,41744,very late
Police,Written,266,41699,41744,very late
Social Development,Written,267,41699,41745,Very late
Social Development,Written,268,41699,41712,on time
Finance,Written,269,41699,41761,very late
Home affairs,Written,271,41699,41711,On time
Police,Written,272,41699,41744,very late
Social Development,Written,277,41699,41712,on time
Transport,Written,278,41699,41717,late
Higher education and training,Written,279,41699,41732,late
Social Development,Written,280,41699,41712,on time
Social Development,Written,282,41699,41712,on time
Transport,Written,283,41699,41753,very late
Social Development,Written,284,41699,41712,on time
Social Development,Written,285,41699,41712,on time
Social Development,Written,286,41699,41712,on time
Labour,Written,291,41699,41755,very late
Sport & Recreation ,Written,292,41699,41711,on time
Home affairs,Written,294,41699,41744,very late
Home affairs,Written,295,41699,41759,very late
Home affairs,Written,296,41699,41711,On time
Transport,Written,297,41699,41752,very late
Transport,Written,298,41699,41717,late
Justice and CD,Written,300,41699,41737,late
Water & Environmental affairs,Written,301,41699,41709,on time
Water & Environmental affairs,Written,302,41699,41724,late
Transport,Written,303,41699,41752,very late
Economic Development,Written,306,41699,41702,on time
Transport,Written,307,41699,41717,late
Public Enterprises,Written,309,41699,41733,late
Public Enterprises,Written,310,41699,41712,on time
Public Works,Written,311,41699,41758,very late
Finance,Written,313,41699,41716,Late
Finance,Written,314,41699,41712,on time
Higher education and training,Written,317,41699,41716,late
Deputy President,Oral,1,41703,41703,On Time
Deputy President,Oral,2,41703,41703,On Time
Deputy President,Oral,3,41703,41703,On Time
Deputy President,Oral,4,41703,41703,On Time
Agriculture,Oral,5,41703,41703,On Time
Agriculture,Oral,11,41703,41704,Late
Agriculture,Oral,12,41703,41704,Late
Agriculture,Oral,13,41703,41708,Late
Agriculture,Oral,16,41703,41704,Late
Agriculture,Oral,26,41703,41704,Late
Home affairs,Oral,1,41704,41706,late
Home affairs,Oral,2,41704,41709,late
Intl Relations and Cooperation,Oral,3,41704,41704,on time
Intl Relations and Cooperation,Oral,4,41704,41704,on time
Intl Relations and Cooperation,Oral,5,41704,41704,on time
Intl Relations and Cooperation,Oral,6,41704,41704,on time
Intl Relations and Cooperation,Oral,7,41704,41704,on time
Police,Oral,8,41704,41705,on time
Police,Oral,9,41704,41705,on time
Police,Oral,10,41704,41705,on time
Police,Oral,11,41704,41705,on time
Police,Oral,13,41704,41705,on time
Police,Oral,14,41704,41705,on time
Correctional Services,Oral,15,41704,41705,on time
Defence & MVs,Oral,16,41704,41710,late
Justice and CD,Oral,17,41704,41705,on time
Police,Oral,18,41704,41705,on time
Police,Oral,19,41704,41705,on time
Defence & MVs,Oral,20,41704,41710,late
Justice and CD,Oral,21,41704,41705,on time
Defence & MVs,Oral,22,41704,41710,late
State Security,Oral,23,41704,41704,on time
Intl Relations and Cooperation,Oral,24,41704,41704,on time
Home affairs,Oral,25,41704,41706,late
Home affairs,Oral,26,41704,41706,late
Home affairs,Oral,27,41704,41706,late
Defence & MVs,Oral,28,41704,41710,late
Defence & MVs,Oral,29,41704,41710,late
Defence & MVs,Oral,30,41704,41710,late
Defence & MVs,Oral,31,41704,41801,late
Home affairs,Oral,32,41704,41706,late
Home affairs,Oral,33,41704,41706,late
Home affairs,Oral,34,41704,41706,late
Justice and CD,Oral,35,41704,41705,on time
Justice and CD,Oral,36,41704,41705,on time
Home affairs,Oral,37,41704,41706,late
Defence & MVs,Oral,38,41704,41710,late
Intl Relations and Cooperation,Oral,39,41704,41704,on time
Correctional Services,Oral,40,41704,41705,on time
Correctional Services,Oral,41,41704,41705,on time
Police,Oral,42,41704,41705,on time
Defence & MVs,Oral,43,41704,41934,late
Correctional Services,Oral,44,41704,41705,on time
Correctional Services,Oral,45,41704,41705,on time
Correctional Services,Oral,46,41704,41705,on time
Correctional Services,Oral,47,41704,41705,on time
Police,Oral,48,41704,41705,on time
Deputy President,Written,253,41705,41710,On Time
Agriculture,Written,297,41705,41730,Late
Higher education and training,Written,320,41706,41732,late
Energy ,Written,322,41706,41745,late
Higher education and training,Written,324,41706,41738,late
Higher education and training,Written,325,41706,41744,late
Labour,Written,328,41706,41755,very late
Finance,Written,330,41706,41733,Late
Sport & Recreation ,Written,331,41706,41724,late
Social Development,Written,332,41706,41745,Late
Health ,Written,334,41706,41802,very late
Health ,Written,336,41706,41837,very late
"Women, C&PwD",Written,338,41706,41772,very late
Police,Written,342,41706,41744,late
Police,Written,343,41706,41744,late
Police,Written,344,41706,41745,late
Police,Written,345,41706,41744,late
Police,Written,347,41706,41801,late
Social Development,Written,348,41706,41745,Late
Health ,Written,349,41706,41866,very late
Social Development,Written,350,41706,41739,Late
Home affairs,Written,351,41706,41779,very late
Rural Dev & Land Reforms,Written,354,41706,41739,late
Rural Dev & Land Reforms,Written,355,41706,41796,very late
Rural Dev & Land Reforms,Written,356,41706,41787,very late
Social Development,Written,357,41706,41739,Late
Higher education and training,Written,358,41706,41738,late
Social Development,Written,359,41706,41745,Late
Social Development,Written,360,41706,41745,Late
Police,Written,361,41706,41745,late
Justice and CD,Written,362,41706,41745,late
Police,Written,363,41706,41744,late
Home affairs,Written,364,41706,41744,Late
Health ,Written,365,41706,41743,late
Higher education and training,Written,366,41706,41732,late
Social Development,Written,370,41706,41745,Late
Health ,Written,371,41706,41743,late
Finance,Written,372,41706,41712,on time
Finance,Written,373,41706,41733,Late
Intl Relations and Cooperation,Written,376,41706,41744,late
Intl Relations and Cooperation,Written,377,41706,41744,late
Energy ,Written,378,41706,41745,late
Health ,Written,379,41706,41743,late
Public Works,Written,380,41706,41758,very late
Public Enterprises,Written,382,41706,41733,late
Public Works,Written,383,41706,41758,very late
Tourism,Written,385,41706,41726,late
Defence & MVs,Written,387,41706,41857,very late
Water & Environmental affairs,Written,388,41706,41724,late
Science & Technology,Written ,389,41706,41716,on time
Science & Technology,Written ,390,41706,41716,on time
Science & Technology,Written ,391,41706,41716,on time
Public Enterprises,Written,392,41706,41733,late
Finance,Written,394,41706,41733,Late
Mineral resources,Written,395,41706,41740,Late
Labour,Written,396,41706,41787,very late
Higher education and training,Written,397,41706,41752,very late
Public Enterprises,Written,399,41706,41733,late
Public Enterprises,Written,400,41706,41733,late
Health ,Oral,50,41711,41737,late
Health ,Oral,51,41711,41737,late
Health ,Oral,52,41711,41737,late
Human settlements ,Oral,55,41711,41712,on time
Social Development,Oral,56,41711,41712,on time
Social Development,Oral,57,41711,41712,on time
Social Development,Oral,58,41711,41712,on time
Higher education and training,Oral,59,41711,41712,on time
Sport & Recreation ,Oral,61,41711,41712,on time
Social Development,Oral,62,41711,41712,on time
Higher education and training,Oral,63,41711,41712,on time
Higher education and training,Oral,64,41711,41712,on time
Human settlements ,Oral,65,41711,41712,on time
Health ,Oral,66,41711,41737,late
Health ,Oral,68,41711,41737,late
Social Development,Oral,70,41711,41712,on time
Social Development,Oral,71,41711,41712,on time
Social Development,Oral,72,41711,41712,on time
Social Development,Oral,73,41711,41712,on time
Higher education and training,Oral,74,41711,41712,on time
Higher education and training,Oral,75,41711,41712,on time
Human settlements ,Oral,76,41711,41712,on time
Human settlements ,Oral,77,41711,41712,on time
Water & Environmental affairs,Oral,78,41711,41723,late
Water & Environmental affairs,Oral,79,41711,41723,late
Water & Environmental affairs,Oral,80,41711,41720,late
Water & Environmental affairs,Oral,81,41711,41723,late
Water & Environmental affairs,Oral,82,41711,41745,late
Water & Environmental affairs,Oral,83,41711,41731,late
Water & Environmental affairs,Oral,84,41711,41724,late
Social Development,Oral,85,41711,41712,on time
Social Development,Oral,86,41711,41712,on time
Sport & Recreation ,Oral,87,41711,41712,on time
Sport & Recreation ,Oral,88,41711,41712,on time
Water & Environmental affairs,Oral,92,41711,41724,late
Higher education and training,Oral,93,41711,41712,on time
Health ,Oral,94,41711,41737,late
Higher education and training,Oral,95,41711,41712,on time
Health ,Oral,96,41711,41737,late
Agriculture,Written,317,41712,41733,Very Late
Agriculture,Written,375,41712,41730,Late
Agriculture,Written,376,41712,41730,Late
President ,Written,381,41712,41736,Late
President ,Written,382,41712,41736,Late
Justice and CD,Written,403,41713,41745,late
Intl Relations and Cooperation,Written,404,41713,41744,late
Sport & Recreation ,Written,406,41713,41744,late
Human settlements ,Written,408,41713,41745,late
Intl Relations and Cooperation,Written,410,41713,41744,late
Higher education and training,Written,411,41713,41732,late
Police,Written,412,41713,41744,late
Police,Written,413,41713,41744,late
Home affairs,Written,414,41713,41793,very late
Home affairs,Written,415,41713,41747,Late
Home affairs,Written,416,41713,41744,Late
Police,Written,417,41713,41744,late
Public S and Administration,Written,418,41713,41776,very late
Energy ,Written,419,41713,41745,late
Energy ,Written,420,41713,41745,late
Energy ,Written,421,41713,41745,late
Tourism,Written,422,41713,41726,on time
Labour,Written,423,41713,41755,late
Social Development,Written,424,41713,41745,Late
Economic Development,Written,427,41713,41724,on time
Economic Development,Written,428,41713,41724,on time
Rural Dev & Land Reforms,Written,433,41713,41739,late
Public Works,Written,435,41713,41758,very late
Justice and CD,Written,438,41713,41755,late
Water & Environmental affairs,Written,439,41713,41740,late
Water & Environmental affairs,Written,440,41713,41740,late
Public Works,Written,441,41713,41800,very late
Performance Monitoring,Written,442,41713,41803,very late
Police,Written,443,41713,41744,late
"Women, C&PwD",Written,444,41713,41772,very late
Transport,Written,445,41713,41753,late
Higher education and training,Written,446,41713,41744,late
Defence & MVs,Written,447,41713,41933,very late
Defence & MVs,Written,448,41713,41765,very late
Defence & MVs,Written,449,41713,41795,very late
Transport,Written,452,41713,41747,late
Health ,Written,454,41713,41758,very late
Finance,Written,455,41713,41733,Late
Water & Environmental affairs,Written,456,41713,41737,late
Public S and Administration,Written,457,41713,41769,very late
Finance,Written,459,41713,41733,Late
Finance,Written,460,41713,41740,Late
Water & Environmental affairs,Written,462,41713,41745,late
Trade and Industry,Written,463,41713,41720,On time
Health ,Written,464,41713,41802,very late
Public Works,Written,465,41713,41758,very late
Trade and Industry,Written,466,41713,41718,On time
Water & Environmental affairs,Written,467,41713,41745,late
Social Development,Written,468,41713,41739,Late
Finance,Written,469,41713,41733,Late
Human settlements ,Written,470,41713,41731,late
Human settlements ,Written,471,41713,41745,late
Human settlements ,Written,472,41713,41737,late
Human settlements ,Written,473,41713,41745,late
Police,Written,474,41713,41745,late
Public Works,Written,476,41713,41758,very late
Home affairs,Written,477,41713,41747,Late
Intl Relations and Cooperation,Written,479,41713,41744,late
Water & Environmental affairs,Written,480,41720,41737,on time
Police,Written,481,41720,41745,late
Human settlements ,Written,484,41720,41745,late
Human settlements ,Written,485,41720,41741,late
Performance Monitoring,Written,486,41720,41744,late
Human settlements ,Written,487,41720,41741,late
Finance,Written,488,41720,41738,on time
Health ,Written,489,41720,41758,late
Sport & Recreation ,Written,491,41720,41744,late
Police,Written,492,41720,41744,late
Performance Monitoring,Written,493,41720,41744,late
Performance Monitoring,Written,494,41720,41744,late
Higher education and training,Written,495,41720,41738,late
Human settlements ,Written,497,41720,41745,late
Public Works,Written,498,41720,41758,Late
Tourism,Written,499,41720,41726,on time
Water & Environmental affairs,Written,500,41720,41737,on time
Energy ,Written,501,41720,41745,late
Home affairs,Written,502,41720,41779,very late
Home affairs,Written,503,41720,41744,Late
Home affairs,Written,504,41720,41744,Late
Rural Dev & Land Reforms,Written,505,41720,41767,very late
Social Development,Written,506,41720,41808,Very late
Social Development,Written,507,41720,41745,Late
Social Development,Written,508,41720,41745,Late
Police,Written,509,41720,41801,very late
Human settlements ,Written,510,41720,41745,late
Human settlements ,Written,511,41720,41745,late
Intl Relations and Cooperation,Written,512,41720,41744,late
Intl Relations and Cooperation,Written,513,41720,41744,late
Defence & MVs,Written,514,41720,41801,very late
Defence & MVs,Written,515,41720,41765,very late
Energy ,Written,518,41720,41742,late
Energy ,Written,519,41720,41742,late
Energy ,Written,520,41720,41742,late
Labour,Written,524,41720,41755,late
Labour,Written,525,41720,41755,late
Labour,Written,526,41720,41755,late
Economic Development,Written,531,41720,41724,on time
Economic Development,Written,532,41720,41724,on time
Water & Environmental affairs,Written,533,41720,41732,on time
Health ,Written,537,41720,41758,late
Health ,Written,538,41720,41758,late
Economic Development,Written,540,41720,41724,on time
Public Works,Written,543,41720,41758,Late
Public Works,Written,544,41720,41758,Late
Public Works,Written,545,41720,41758,Late
Home affairs,Written,546,41720,41747,Late
Home affairs,Written,547,41720,41747,Late
Home affairs,Written,548,41720,41747,Late
Human settlements ,Written,549,41720,41762,late
Health ,Written,550,41720,41823,very late
Labour,Written,551,41720,41755,late
Performance Monitoring,Written,554,41720,41744,late
Rural Dev & Land Reforms,Written,555,41720,41787,very late
Finance,Written,556,41720,41761,Late
Justice and CD,Written,557,41720,41745,late
Public S and Administration,Written,558,41720,41762,late
Home affairs,Written,559,41720,41744,Late
Intl Relations and Cooperation,Written,560,41720,41744,late
Police,Written,561,41720,41745,late
Rural Dev & Land Reforms,Written,562,41720,41759,late
Rural Dev & Land Reforms,Written,563,41720,41795,very late
Defence & MVs,Written,564,41720,41801,very late
Social Development,Written,565,41726,41745,Late
Social Development,Written,566,41726,41745,Late
Social Development,Written,567,41726,41754,Late
Transport,Written,568,41726,41753,late
Social Development,Written,569,41726,41745,Late
Social Development,Written,570,41726,41745,Late
Performance Monitoring,Written,571,41726,41745,late
Police,Written,572,41726,41773,very late
Defence & MVs,Written,573,41726,41765,late
Defence & MVs,Written,574,41726,41765,late
State Security,Written,575,41726,41741,On time
Labour,Written,576,41726,41755,late
Intl Relations and Cooperation,Written,577,41726,41744,late
Public Enterprises,Written,578,41726,41755,late
Home affairs,Written,579,41726,41746,Late
Home affairs,Written,580,41726,41744,Late
Home affairs,Written,581,41726,41744,Late
Police,Written,582,41726,41745,late
Public Works,Written,584,41726,41758,Late
Water & Environmental affairs,Written,585,41726,41740,on time
Labour,Written,589,41726,41755,late
Transport,Written,591,41726,41747,late
Social Development,Written,592,41726,41745,Late
Social Development,Written,593,41726,41745,Late
Social Development,Written,594,41726,41745,Late
Social Development,Written,595,41726,41745,Late
Police,Written,596,41726,41745,late
Justice and CD,Written,597,41726,41745,late
Police,Written,599,41726,41745,late
Human settlements ,Written,600,41726,41870,very late
Human settlements ,Written,601,41726,41745,late
Human settlements ,Written,602,41726,41762,late
State Security,Written,603,41726,41741,On time
Police,Written,604,41726,41745,late
Police,Written,605,41726,41745,late
Police,Written,606,41726,41745,late
Police,Written,607,41726,41745,late
Police,Written,608,41726,41745,late
Police,Written,609,41726,41745,late
Trade and Industry,Written,610,41726,41738,On time
Economic Development,Written,611,41726,41744,on time
Economic Development,Written,615,41726,41744,on time
Sport & Recreation ,Written,618,41726,41768,late
Health ,Written,622,41726,41802,very late
Transport,Written,623,41726,41753,late
Transport,Written,624,41726,41823,very late
Water & Environmental affairs,Written,626,41726,41740,on time
Health ,Written,627,41726,41866,very late
Defence & MVs,Written,634,41726,41801,very late
Economic Development,Written,635,41726,41744,on time
Energy ,Written,636,41726,41742,on time
Higher education and training,Written,637,41726,41744,late
Home affairs,Written,638,41726,41747,Late
Human settlements ,Written,639,41726,41762,late
Intl Relations and Cooperation,Written,640,41726,41744,late
Justice and CD,Written,641,41726,41745,late
Labour,Written,642,41726,41755,late
Mineral resources,Written,643,41726,41745,Late
Police,Written,644,41726,41745,late
Public Enterprises,Written,645,41726,41738,on time
Public S and Administration,Written,646,41726,41762,late
Public Works,Written,647,41726,41758,Late
Science & Technology,Written ,649,41726,41740,on time
Social Development,Written,650,41726,41745,Late
Sport & Recreation ,Written,651,41726,41768,late
State Security,Written,652,41726,41741,On time
Tourism,Written,653,41726,41744,on time
Transport,Written,654,41726,41747,late
Trade and Industry,Written,655,41726,41740,On time
"Women, C&PwD",Written,656,41726,41772,very late
Performance Monitoring,Written,657,41726,41759,late
Higher education and training,Written,659,41726,41789,very late
Police,Written,660,41726,41745,late
Defence & MVs,Written,662,41726,41857,very late
Labour,Written,663,41726,41755,late
Trade and Industry,Written,664,41726,41737,On time
Trade and Industry,Written,665,41726,41765,late
Justice and CD,Written,667,41726,41745,late
Justice and CD,Written,668,41726,41745,late
Public Works,Written,670,41726,41758,Late
Public Works,Written,671,41726,41758,Late
Justice and CD,Written,672,41748,41768,late
Social Development,Written,673,41748,41800,Very late
Transport,Written,674,41748,41755,on time
Public Enterprises,Written,675,41748,41759,on time
Higher education and training,Written,678,41748,41768,late
Social Development,Written,681,41748,41800,Very late
Social Development,Written,682,41748,41801,Very late
Public Enterprises,Written,685,41748,41768,late
Public S and Administration,Written,686,41748,41786,late
Public S and Administration,Written,687,41748,41795,very late
Performance Monitoring,Written,688,41748,41766,late
Public S and Administration,Written,689,41748,41782,late
Public S and Administration,Written,690,41748,41786,late
Public S and Administration,Written,693,41748,41839,very late
Justice and CD,Written,694,41748,41768,late
Performance Monitoring,Written,695,41748,41766,late
Public S and Administration,Written,701,41748,41782,late
"Women, C&PwD",Written,702,41748,41772,late
"Women, C&PwD",Written,703,41748,41772,late
Public S and Administration,Written,705,41748,41808,very late
Public S and Administration,Written,706,41748,41795,very late
Performance Monitoring,Written,707,41748,41951,very late
Transport,Written,708,41748,41758,on time
Home affairs,Written,710,41748,41761,On time
Home affairs,Written,711,41748,41758,On time
Home affairs,Written,712,41748,41774,Late
Police,Written,713,41748,41773,late
Health ,Written,714,41748,41837,very late
Health ,Written,715,41748,41837,very late
Health ,Written,716,41748,41787,late
Higher education and training,Written,718,41748,41768,late
Higher education and training,Written,719,41748,41768,late
Police,Written,720,41748,41773,late
Public Works,Written,724,41748,41758,on time
Social Development,Written,725,41748,41808,Very late
Health ,Written,726,41748,41787,late
Health ,Written,728,41748,41787,late
Defence & MVs,Written,729,41748,41801,very late
Defence & MVs,Written,730,41748,41801,very late
Defence & MVs,Written,732,41748,41801,very late
Labour,Written,733,41748,41810,very late
Labour,Written,734,41748,41810,very late
Labour,Written,736,41748,41787,late
Transport,Written,737,41748,41779,late
Public Enterprises,Written,738,41748,41775,late
Energy ,Written,739,41748,41787,late
Defence & MVs,Written,740,41748,41801,very late
Defence & MVs,Written,741,41748,41801,very late
Trade and Industry,Written,744,41748,41754,On time
Public Works,Written,750,41748,41758,on time
Public Works,Written,751,41748,41758,on time
Performance Monitoring,Written,752,41748,41767,late
Trade and Industry,Written,754,41748,41754,On time
Justice and CD,Written,755,41748,41768,late
Health ,Written,759,41748,41866,very late
Labour,Written,760,41748,41787,late
Trade and Industry,Written,761,41748,41755,On time
Defence & MVs,Written,763,41748,41795,very late
Public Enterprises,Written,764,41748,41768,late
Science & Technology,Written ,766,41748,41762,on time
Higher education and training,Written,767,41748,41789,late
Labour,Written,768,41748,41787,late
Social Development,Written,769,41748,41801,Very late
Social Development,Written,770,41748,41800,Very late
Police,Written,771,41748,41773,late
Health ,Written,772,41748,41802,very late
Public S and Administration,Oral,98,41753,41754,on time
Performance Monitoring,Oral,99,41753,41754,on time
Public S and Administration,Oral,100,41753,41754,on time
COGTA,Oral,101,41753,41754,on time
COGTA,Oral,102,41753,41754,on time
"Women, C&PwD",Oral,103,41753,41754,on time
Performance Monitoring,Oral,104,41753,41754,on time
"Women, C&PwD",Oral,106,41753,41754,on time
Public S and Administration,Oral,107,41753,41754,on time
COGTA,Oral,109,41753,41773,late
Public S and Administration,Oral,110,41753,41754,on time
Public S and Administration,Oral,111,41753,41754,on time
Public S and Administration,Oral,112,41753,41754,on time
"Women, C&PwD",Oral,113,41753,41754,on time
"Women, C&PwD",Oral,114,41753,41754,on time
"Women, C&PwD",Oral,115,41753,41754,on time
Public S and Administration,Oral,116,41753,41754,on time
COGTA,Oral,117,41753,41754,on time
COGTA,Oral,118,41753,41754,on time
COGTA,Oral,119,41753,41754,on time
Performance Monitoring,Oral,120,41753,41754,on time
COGTA,Oral,121,41753,41754,on time
Performance Monitoring,Oral,122,41753,41754,on time
COGTA,Oral,123,41753,41754,on time
COGTA,Oral,126,41753,41754,on time
COGTA,Oral,128,41753,41754,on time
"Women, C&PwD",Oral,131,41753,41754,on time
Public S and Administration,Oral,133,41753,41754,on time
